95597,0.14,-0.46,-0.2,-1.83,-66.6,55.6,-0.13,0.18,-0.02,13.37,-7.34,-19.42
95602,0.13,-0.45,-0.23,-0.21,-72.88,52.63,-0.12,0.18,-0.01,17.15,-3.51,-21.24
95607,0.12,-0.42,-0.31,-1.89,-81.18,50.23,-0.11,0.19,-0.01,19.91,-0.69,-22.19
95612,0.15,-0.39,-0.34,-9.17,-84.67,49.91,-0.11,0.2,0,21.59,1.69,-22.43
95617,0.17,-0.37,-0.38,-17.36,-87.33,48.92,-0.09,0.22,0.01,21.97,3.85,-22.4
95622,0.22,-0.32,-0.42,-28.41,-87.46,47.65,-0.09,0.22,0.01,21.19,5.71,-22.14
95627,0.24,-0.3,-0.44,-39.32,-84.18,46.14,-0.09,0.23,0.02,19.27,6.7,-21.84
95632,0.26,-0.29,-0.45,-52.22,-79.54,44.27,-0.09,0.23,0.04,16.77,6.04,-21.19
95637,0.26,-0.3,-0.45,-64.42,-74.55,42.14,-0.08,0.23,0.05,14.11,3.68,-19.82
95642,0.24,-0.31,-0.45,-74.49,-70.45,39.76,-0.08,0.24,0.05,11.63,0.12,-17.9
95646,0.21,-0.34,-0.4,-78.96,-66.94,37.89,-0.08,0.24,0.05,10.01,-3.69,-15.55
95651,0.19,-0.38,-0.33,-76.17,-65.9,36.58,-0.06,0.24,0.05,10.09,-7.13,-12.86
95656,0.19,-0.38,-0.33,-66.02,-70.92,34.3,-0.04,0.23,0.04,11.18,-9.69,-9.63
95661,0.17,-0.44,-0.29,-51.01,-79.57,31.59,-0.04,0.22,0.02,12.51,-11.86,-5.74
95666,0.15,-0.48,-0.3,-30.7,-88.15,28.9,-0.02,0.22,0.01,13.29,-12.62,-1.54
95671,0.13,-0.5,-0.3,-7.4,-95.29,26.08,0.01,0.24,0,13.82,-11.29,2.88
95676,0.13,-0.5,-0.31,15.26,-100.95,22.9,0.02,0.25,-0.01,13.4,-8.35,7.93
95681,0.12,-0.49,-0.29,34.9,-108.31,20.46,0.03,0.25,-0.01,11.98,-4.58,13.35
95686,0.1,-0.49,-0.26,46.1,-120.86,16.98,0.04,0.26,0,10.28,-1.14,19.1
95691,0.1,-0.46,-0.28,51.65,-136.44,12.7,0.03,0.25,-0.01,8.21,1.22,25.12
95696,0.11,-0.45,-0.32,54.6,-151.67,7.64,0.03,0.25,0,5.86,2.24,31.36
95701,0.12,-0.44,-0.38,53.92,-166.23,1.66,0.03,0.24,0.01,4.14,2.47,37.51
95706,0.13,-0.44,-0.45,48.71,-176.64,-4.38,0.02,0.23,0.02,2.35,2.14,43
95711,0.17,-0.42,-0.52,43.23,-176.57,-5.25,0.03,0.21,0.05,0.84,1.54,47.29
95716,0.05,-0.3,-0.85,30.03,-161.32,-0.89,0.03,0.19,0.07,0.37,0.63,50.34
95721,0.03,-0.55,-1.18,-24.38,-148.91,0.93,0.02,0.17,0.07,0.85,-0.5,52.31
95726,0.05,-0.51,-1.12,-54.95,-142.15,4.18,0.02,0.16,0.07,1.79,-1.3,53.34
95730,0,-0.23,-0.81,-41.47,-146.67,-2.52,0.02,0.15,0.08,3.62,-1.46,52.95
95735,0.28,-0.45,-0.57,-29.45,-152.74,-2.98,0,0.14,0.08,5.55,-0.85,51.35
95740,0.36,-0.7,-0.83,-16.48,-132.29,5.17,0.01,0.14,0.08,7.49,0.4,48.75
95745,0.33,-0.84,-0.89,-7.31,-102.58,14.59,0.01,0.12,0.09,8.96,2.01,45.03
95750,0.28,-0.59,-0.82,5.02,-76.78,26.11,0,0.11,0.1,9.98,3.66,40.68
95755,0.28,-0.22,-0.78,-8.1,-65.03,40.73,0,0.11,0.11,10.51,5.28,35.95
95760,0.29,0.03,-0.69,-30.14,-64.58,55.22,0,0.1,0.12,11.05,6.42,31.31
95765,0.19,-0.11,-0.86,-45.38,-54.76,74.11,-0.01,0.1,0.13,11.25,7.25,26.95
95770,0.03,-0.13,-0.76,-65.41,-49.21,94.59,-0.01,0.1,0.13,11.38,7.89,23.12
95775,0,-0.1,-0.72,-86.55,-51.64,113.16,-0.01,0.11,0.13,11.49,8.67,19.79
95780,-0.06,-0.2,-0.67,-106.66,-59.17,131.29,-0.02,0.1,0.13,11.96,10.13,16.91
95785,-0.09,-0.25,-0.61,-122.57,-73.27,144.64,-0.01,0.08,0.15,12.8,12.24,14.11
95790,-0.1,-0.34,-0.56,-133.21,-92.53,149.38,0,0.06,0.17,12.8,12.24,14.11
95795,-0.05,-0.51,-0.51,-134.51,-113.27,144.45,-0.01,0.04,0.18,13.67,14.59,10.97
95800,0.04,-0.74,-0.48,-124.76,-128.68,131.68,-0.01,0.04,0.19,14.89,16.62,7.2
95805,0.18,-1,-0.49,-99.04,-135.15,110.4,0,0.04,0.22,15.99,18.16,2.72
95810,0.3,-1.18,-0.54,-60.09,-131.81,82.28,-0.01,0.04,0.23,17.06,18.91,-2.61
95814,0.37,-1.31,-0.59,-14.45,-122.07,46.37,0,0.05,0.24,17.94,18.65,-8.65
95819,0.37,-1.31,-0.61,27.25,-111.56,8.19,0.02,0.06,0.25,18.37,17.49,-14.79
95824,0.33,-1.18,-0.6,64.73,-105.04,-29.57,0.01,0.07,0.26,18.13,15.59,-20.75
95829,0.23,-1.1,-0.6,99.91,-109.82,-68.8,0.03,0.09,0.26,17.5,12.59,-26.17
95834,0.1,-1.04,-0.54,136.7,-137.41,-114.52,0.05,0.1,0.26,17.07,8.53,-30.61
95839,0.24,-1.05,-0.2,207.69,-187.76,-152.4,0.07,0.11,0.26,17.44,4.03,-33.71
95844,1.84,-0.52,0.69,499.59,-125.08,-219.31,0.09,0.11,0.25,18.4,-0.63,-35.57
95849,0.46,0.46,0.53,499.98,-43.27,-259.03,0.1,0.12,0.25,19.36,-5.34,-36.27
95854,-2.8,-4.07,0.19,499.98,-43.27,-259.03,0.09,0.12,0.24,20.61,-10.65,-36.01
95859,-3.18,-1.04,-2.51,461.49,8.3,-61.57,0.1,0.13,0.23,22.26,-15.69,-35.32
95864,0.22,1.58,-3.6,152.21,81.25,108.86,0.1,0.14,0.22,24.54,-21,-33.91
95869,1.71,2.3,-2.74,-28.73,-200.47,38.1,0.09,0.14,0.21,26.79,-27.18,-31.48
95874,1.77,0.37,-1.88,-79.67,-388.49,-110.43,0.1,0.16,0.19,28.24,-33.19,-28.4
95879,0.51,-1.01,-1.58,-189.13,-282.88,-175.99,0.11,0.17,0.18,28.21,-38.12,-24.64
95884,-0.34,-0.65,-1.48,-224.73,-85.49,-160.23,0.11,0.18,0.16,26.64,-41.78,-20.05
95889,-0.73,-0.24,-0.86,-178.28,72.8,-122.71,0.11,0.19,0.15,23.27,-44.37,-14.57
95894,-0.92,-0.33,-0.58,-128.19,120.47,-92.25,0.11,0.21,0.13,17.88,-45.9,-8.33
95899,-1.02,-0.36,-0.62,-106.08,98.07,-67.73,0.09,0.21,0.11,10.79,-46.52,-1.25
95904,-1.05,-0.24,-0.77,-94.13,54.23,-55.5,0.1,0.17,0.1,3.72,-45.85,6.15
95909,-1.04,-0.21,-0.81,-78.02,13.37,-53.67,0.08,0.13,0.09,-2.84,-44.65,13.05
95913,-0.93,-0.12,-0.95,-58.81,-9.38,-46.54,0.05,0.09,0.08,-8.39,-43.96,18.88
95918,-0.87,0.04,-1.11,-42.08,-18.36,-23.21,0.04,0.07,0.07,-12.12,-43.87,23.01
95923,-0.81,0.17,-1.21,-29.66,-29.54,6.33,0.05,0.04,0.06,-13.82,-43.46,24.4
95928,-0.78,0.17,-1.29,-26.78,-54.52,27.21,0.04,-0.01,0.05,-13.41,-41.37,22.74
95933,-0.72,0.11,-1.33,-31.86,-68.01,39.09,0.03,-0.04,0.04,-10.3,-38.25,19.15
95938,-0.66,0.07,-1.35,-42.34,-65.2,45.03,0.01,-0.07,0.04,-5.34,-35.95,14.69
95943,-0.6,0.08,-1.36,-57.56,-62,44.86,0,-0.09,0.04,0.23,-34.55,9.09
95948,-0.54,0.1,-1.48,-76.83,-65.03,40.3,0.01,-0.09,0.04,5.71,-32.87,2.04
95953,-0.44,0.13,-1.54,-86.07,-63.81,32.03,0.02,-0.08,0.04,10.89,-30.47,-6.13
95958,-0.38,0.27,-1.57,-77.7,-41.26,27.4,0.02,-0.07,0.03,15.12,-27.36,-14.36
95963,-0.29,-0.13,-1.37,-61.16,-1.79,24.32,0.02,-0.06,0.03,18.13,-23.7,-22.09
95968,-0.32,-0.11,-1.31,-70.71,49.26,27.71,0.02,-0.03,0.03,19.74,-20.17,-28.72
95973,-0.36,-0.14,-1.3,-68.02,96.53,37.73,0.02,0,0.03,20.05,-17.32,-34.24
95978,-0.43,-0.26,-1.32,-63.03,122.22,43.91,0.03,0.03,0.04,19.47,-15.06,-38.51
95983,-0.44,-0.3,-1.28,-64.04,132.61,49.77,0.05,0.06,0.05,17.67,-13.12,-41.63
95988,-0.48,-0.52,-1.16,-54.6,128.08,53.86,0.04,0.08,0.05,14.54,-11.73,-43.41
95993,-0.51,-0.53,-1.04,-47.32,119.46,59.23,0.05,0.1,0.05,10.93,-10.94,-43.99
95997,-0.43,-0.63,-1.08,-24.05,117.31,65.81,0.06,0.11,0.04,7.28,-10.5,-43.84
96002,-0.36,-0.67,-1.05,-5.26,104.06,65.51,0.06,0.11,0.04,3.78,-10.31,-43.56
96007,-0.3,-0.7,-1.05,10.73,81.21,59.62,0.06,0.11,0.04,1.27,-10.31,-43.53
96012,-0.23,-0.7,-1.06,19.32,61.74,49.82,0.06,0.12,0.04,0.23,-10.54,-43.76
96017,-0.19,-0.71,-1.05,24.64,51.51,39.93,0.08,0.12,0.03,-0.15,-10.82,-44.28
96022,-0.16,-0.7,-1.01,27.76,47.26,30.59,0.08,0.13,0.02,0,-10.57,-44.89
96027,-0.12,-0.69,-1.02,29.39,47.5,22.29,0.09,0.13,0.01,1.14,-9.64,-45.73
96032,-0.07,-0.69,-1.06,29.33,55.08,16.8,0.1,0.13,0,2.56,-8.42,-46.55
96037,-0.01,-0.67,-1.1,26.79,71.44,13.73,0.09,0.14,-0.01,4.07,-7.52,-47.03
96042,0.02,-0.62,-1.1,22.98,92.39,11.98,0.08,0.15,-0.01,5.05,-7.08,-46.92
96047,0.01,-0.57,-1.09,20.17,114.7,10.82,0.09,0.17,-0.01,5.45,-6.7,-46.37
96052,-0.02,-0.57,-1.08,19.73,136.06,9.9,0.08,0.18,-0.01,5.69,-6.09,-45.46
96057,-0.06,-0.58,-1.06,19.64,153.29,8.87,0.08,0.2,-0.01,5.42,-5.31,-43.96
96062,-0.1,-0.59,-1.01,18.42,166.73,8.27,0.08,0.22,0,4.71,-4.15,-42.33
96067,-0.12,-0.62,-0.98,16.17,174.03,8.12,0.07,0.23,0,3.36,-3.05,-40.62
96072,-0.15,-0.66,-0.95,14.72,175.14,6.53,0.05,0.24,0.01,1.37,-3.07,-38.51
96077,-0.17,-0.71,-0.9,14.34,172.24,3.75,0.04,0.25,0.01,-0.64,-4.5,-35.81
96081,-0.21,-0.73,-0.88,13.78,165.79,0.67,0.02,0.25,0.01,-2.64,-7.2,-32.58
96086,-0.21,-0.73,-0.86,13.08,156.34,-3.4,0,0.24,0.02,-4.55,-10.67,-29.17
96091,-0.19,-0.71,-0.81,11.58,146.58,-7.39,-0.01,0.25,0.01,-6.35,-13.87,-26
96096,-0.19,-0.71,-0.81,8.12,133.38,-9.67,-0.02,0.24,0,-7.14,-16.28,-23.47
96101,-0.17,-0.71,-0.79,2.98,121.09,-12.18,-0.03,0.23,-0.01,-6.85,-17.15,-21.61
96106,-0.14,-0.71,-0.79,-2.08,110.09,-13.34,-0.02,0.22,-0.02,-5.26,-16.48,-20.05
96111,-0.1,-0.69,-0.77,-5.8,97.9,-13.24,-0.03,0.21,-0.04,-3.08,-14.66,-18.33
96116,-0.08,-0.68,-0.76,-7.29,85.72,-12.97,-0.04,0.2,-0.05,-1.27,-11.99,-16.77
