2.1974e+05,-0.52,0.02,-0.09,-122.42,-207.82,-25.68,-0.22,0.08,-0.09,40.68,-7.93,35.54
2.1974e+05,-0.43,-0.09,-0.06,-112.66,-178.19,-29.17,-0.22,0.11,-0.07,38.99,-1.91,35.34
2.1975e+05,-0.4,-0.04,-0.06,-106.41,-121.52,-23.71,-0.21,0.12,-0.06,37.32,4.18,35.51
2.1975e+05,-0.44,0.09,-0.09,-100.51,-70.85,-22.46,-0.21,0.14,-0.05,35.9,9.81,35.43
2.1976e+05,-0.43,0.19,-0.14,-95.4,-35.1,-29.39,-0.21,0.14,-0.04,34.55,14.47,35.54
2.1976e+05,-0.4,0.31,-0.26,-98.22,-19.84,-43,-0.19,0.16,-0.03,33.05,20.39,35.83
2.1977e+05,-0.37,0.35,-0.36,-103.53,-50.54,-63.98,-0.19,0.17,-0.03,31.69,24.86,36.07
2.1977e+05,-0.36,0.3,-0.34,-105.65,-124.04,-84.29,-0.19,0.17,-0.03,30.36,26.82,36.64
2.1978e+05,-0.32,0.28,-0.29,-111.37,-193.54,-96.83,-0.18,0.16,-0.03,29.37,27.76,37.37
2.1978e+05,-0.27,0.25,-0.23,-122.01,-237.67,-104.93,-0.17,0.15,-0.03,28.66,26.99,38.07
2.1979e+05,-0.26,0.28,-0.19,-136.8,-257.64,-109.63,-0.17,0.15,-0.03,27.62,25.1,38.82
2.1979e+05,-0.27,0.24,-0.2,-154.46,-254.97,-113.46,-0.16,0.15,-0.01,26.17,23.91,39.76
2.198e+05,-0.24,0.18,-0.2,-172.81,-241.91,-114.27,-0.15,0.16,0.01,25.22,23.04,40.6
2.198e+05,-0.27,0.13,-0.21,-185.94,-225.36,-109.45,-0.14,0.16,0.02,24.77,22.72,40.97
2.1981e+05,-0.33,0.06,-0.22,-190.69,-206.19,-101.93,-0.12,0.17,0.04,24.41,23.94,41.09
2.1981e+05,-0.39,0.01,-0.23,-182.68,-189.82,-93.6,-0.11,0.17,0.05,23.28,26.11,40.42
2.1982e+05,-0.44,-0.01,-0.23,-166.49,-176.15,-85.59,-0.11,0.17,0.06,20.9,27.8,39.14
2.1982e+05,-0.46,0.04,-0.25,-144.81,-163.57,-79.54,-0.09,0.17,0.07,19.15,30.15,38.16
2.1983e+05,-0.47,0.12,-0.25,-118.73,-155.3,-76.93,-0.09,0.16,0.07,17.5,32.58,37.22
2.1983e+05,-0.48,0.2,-0.27,-91.98,-151.82,-77.84,-0.1,0.14,0.08,16.11,35.64,36.62
2.1984e+05,-0.5,0.25,-0.31,-69.89,-148.8,-79.22,-0.08,0.15,0.09,15.06,37.63,35.95
2.1984e+05,-0.5,0.33,-0.34,-55.88,-142.9,-78.93,-0.08,0.14,0.1,14.01,40.08,34.77
2.1985e+05,-0.51,0.41,-0.43,-43.98,-137.73,-77.91,-0.09,0.13,0.1,13.85,42.71,33.94
2.1985e+05,-0.46,0.44,-0.5,-34.29,-132.9,-76.22,-0.1,0.12,0.11,13.61,43.44,33.69
2.1986e+05,-0.38,0.48,-0.52,-35.05,-124.18,-70.88,-0.08,0.11,0.12,12.73,42.62,33.49
2.1986e+05,-0.36,0.58,-0.46,-40.71,-121.17,-62.45,-0.09,0.1,0.13,12.25,41.66,32.96
2.1987e+05,-0.38,0.58,-0.45,-45.93,-121.31,-57.27,-0.09,0.1,0.14,11.95,40.36,31.95
2.1987e+05,-0.37,0.52,-0.51,-57.04,-122.38,-52.26,-0.08,0.11,0.15,11.25,38.74,30.46
2.1988e+05,-0.36,0.46,-0.55,-70.3,-122.56,-45.38,-0.1,0.1,0.15,10.77,36.16,28.82
2.1988e+05,-0.38,0.41,-0.56,-78.64,-119.22,-38.39,-0.1,0.09,0.17,10.01,32.42,27.42
2.1989e+05,-0.4,0.35,-0.56,-81.3,-115.63,-32.32,-0.09,0.08,0.18,8.96,28.08,25.71
2.1989e+05,-0.42,0.29,-0.54,-81.3,-115.72,-28.64,-0.1,0.07,0.18,7.42,23.64,23.7
2.199e+05,-0.42,0.24,-0.56,-77.91,-117.39,-28.37,-0.1,0.07,0.19,5.42,20.17,21.38
2.199e+05,-0.4,0.19,-0.58,-69.31,-119.57,-31.27,-0.09,0.06,0.21,3.65,17.79,18.8
2.1991e+05,-0.35,0.18,-0.62,-56.47,-119.93,-36.03,-0.09,0.05,0.22,2.52,15.58,15.99
2.1991e+05,-0.26,0.19,-0.66,-40.07,-117.28,-43.78,-0.1,0.04,0.22,1.59,13.21,13.41
2.1992e+05,-0.18,0.2,-0.68,-24.49,-112.17,-55.92,-0.09,0.04,0.22,1.59,13.21,13.41
2.1992e+05,-0.12,0.22,-0.74,-10.21,-100.52,-70.28,-0.09,0.03,0.22,0.69,10.45,10.83
2.1993e+05,-0.1,0.17,-0.83,7.98,-81.09,-84.59,-0.1,0.03,0.21,0.05,8.15,8.06
2.1993e+05,-0.18,0.09,-0.95,28.47,-51.04,-94.36,-0.09,0.03,0.21,-0.4,6.21,5.16
2.1994e+05,-0.35,0.13,-0.96,46.68,-16.91,-100.89,-0.09,0.03,0.2,-1.07,4.21,2.62
2.1994e+05,-0.56,0.21,-1.06,59.65,11.15,-111.07,-0.09,0.03,0.19,-2.14,2.84,0.23
2.1995e+05,-0.56,0.21,-1.06,70.21,30.4,-117.6,-0.08,0.03,0.18,-3.2,2.12,-2.06
2.1995e+05,-0.63,0.15,-1.17,75.76,47.97,-115.17,-0.07,0.03,0.17,-4.26,1.62,-4.06
2.1996e+05,-0.73,0.14,-1.28,86.4,68.77,-104.26,-0.09,0.03,0.15,-5.46,0.82,-5.62
2.1996e+05,-0.77,0.05,-1.3,97.38,98.33,-81.86,-0.08,0.03,0.14,-6.62,-0.37,-7.08
2.1997e+05,-0.81,-0.2,-1.22,104.61,149.35,-38.47,-0.08,0.03,0.13,-7.78,-2.09,-8.59
2.1997e+05,-0.95,-1.05,-0.76,95.34,295.75,59.14,-0.09,0.03,0.11,-9.45,-4.39,-9.58
2.1998e+05,-0.88,-3.04,0.46,27.62,357.16,176.77,-0.09,0.03,0.1,-11.52,-6.7,-10.3
2.1998e+05,-0.2,5.08,-2.18,402.18,-191.25,15.2,-0.09,0.03,0.1,-13.52,-8.77,-11.23
2.1999e+05,-2.17,-4.52,-0.29,499.98,-176.36,-40.63,-0.1,0.02,0.1,-15.18,-11.29,-12.51
2.1999e+05,-1.42,1.04,-3.89,499.98,-180.24,-201.46,-0.1,0.02,0.11,-16.54,-14.01,-13.76
2.2e+05,1.29,0.71,-1.27,467.62,-72.4,-271.44,-0.1,0.01,0.12,-17.12,-15.56,-14.72
2.2e+05,0.98,0.29,-1.69,439.79,35.46,-246.73,-0.1,0.01,0.12,-17.65,-16.45,-15.79
2.2001e+05,0.57,1.02,-1.46,363.27,141.42,-177.26,-0.11,0,0.12,-17.99,-16.83,-17.2
2.2001e+05,-0.47,1.77,-1.73,234.79,228.26,-118.24,-0.11,0,0.13,-18.66,-17.15,-18.77
2.2002e+05,-0.74,2.11,-1.67,92.77,255.1,-63.75,-0.13,0,0.15,-19.53,-17.41,-20.66
2.2002e+05,-0.76,2.23,-1.4,-29.5,240.34,-21.29,-0.14,0,0.16,-19.96,-16.62,-22.6
2.2003e+05,-0.75,2,-1.36,-118.48,204.09,4.58,-0.14,0,0.18,-20.45,-16.69,-24.98
2.2003e+05,-0.66,1.54,-1.29,-174.76,181.88,25.89,-0.16,0,0.19,-20.29,-14.19,-27.71
2.2004e+05,-0.54,1.06,-1.16,-194.15,177.34,48.1,-0.18,-0.01,0.2,-19.03,-11.63,-30.55
2.2004e+05,-0.39,0.7,-1,-185.2,189.41,69.75,-0.19,-0.02,0.21,-17.67,-10.77,-32.61
2.2005e+05,-0.25,0.46,-0.88,-163.82,211.75,87.69,-0.2,-0.02,0.22,-16.13,-10.16,-33.69
2.2005e+05,-0.17,0.36,-0.8,-139.22,231.23,100.08,-0.22,-0.01,0.23,-13.47,-10.07,-35.02
2.2006e+05,-0.11,0.33,-0.71,-111.27,242.34,107.82,-0.22,0,0.24,-9.95,-10.54,-36.33
2.2006e+05,-0.08,0.35,-0.61,-82.69,252.2,110.21,-0.22,0.01,0.24,-6.39,-10.68,-37.57
2.2007e+05,-0.09,0.41,-0.5,-55.48,264.39,107.79,-0.24,0.02,0.25,-2.94,-10.38,-38.45
2.2007e+05,-0.13,0.5,-0.4,-33.92,276.05,102.19,-0.24,0.05,0.26,-0.2,-10.64,-38.65
2.2008e+05,-0.21,0.57,-0.28,-23.97,282.76,96.28,-0.23,0.07,0.27,1.54,-11.09,-38.56
2.2008e+05,-0.32,0.61,-0.17,-25.39,280.53,90.53,-0.24,0.09,0.28,2.46,-10.3,-38.57
2.2008e+05,-0.43,0.65,-0.05,-34.76,274.44,84.38,-0.24,0.11,0.29,2.09,-9.2,-38.5
2.2009e+05,-0.53,0.6,0.05,-57.08,248.93,81.13,-0.24,0.13,0.3,0.15,-7.46,-38.07
2.201e+05,-0.59,0.57,0.11,-84.84,203.98,79.59,-0.25,0.14,0.3,-2.69,-4.65,-36.96
2.201e+05,-0.62,0.57,0.28,-102.83,163.59,75.59,-0.25,0.15,0.3,-6.04,-2.84,-35.28
2.201e+05,-0.59,0.58,0.4,-102.66,144.33,71.78,-0.24,0.16,0.31,-9.84,-1.3,-33.69
2.2011e+05,-0.53,0.43,0.52,-101.9,137.39,63.78,-0.25,0.17,0.31,-13.67,1.02,-32.47
2.2012e+05,-0.42,0.29,0.48,-95.26,127.17,63.54,-0.26,0.17,0.31,-16.94,3.54,-31.94
2.2012e+05,-0.36,0.18,0.44,-91.29,126.07,66.06,-0.25,0.17,0.31,-19.64,6.26,-31.13
2.2012e+05,-0.29,0.07,0.43,-80.63,122.62,69.69,-0.26,0.15,0.3,-21.88,7.14,-29.71
2.2013e+05,-0.24,0,0.44,-62.35,119.66,73.04,-0.26,0.14,0.29,-23.51,6.9,-28.46
2.2014e+05,-0.21,-0.06,0.42,-41.17,117.92,78.31,-0.25,0.14,0.28,-24.08,6.01,-27.68
2.2014e+05,-0.17,-0.08,0.38,-21.74,120.88,85.25,-0.26,0.13,0.27,-23.5,5.29,-27.34
2.2014e+05,-0.14,-0.09,0.31,-7.14,130.22,95.25,-0.27,0.13,0.27,-22.52,4.76,-27.02
2.2015e+05,-0.2,0.02,0.23,5.75,153.14,105.07,-0.26,0.12,0.26,-20.87,5.11,-26.79
